Size, Type, Time, Cores
100, "Sequential", 0.000014, 1
100, "Parallel (2)", 0.000362, 2
100, "Parallel (3)", 0.000405, 3
100, "Parallel (4)", 0.004531, 4
100, "Parallel (5)", 0.003635, 5
100, "Parallel (6)", 0.002575, 6
100, "Parallel (7)", 0.003881, 7
100, "Parallel (8)", 0.007253, 8
100, "Parallel (9)", 0.004394, 9
100, "Parallel (10)", 0.004485, 10
100, "Parallel (11)", 0.006202, 11
100, "Parallel (12)", 0.006819, 12
100, "Parallel (13)", 0.005457, 13
100, "Parallel (14)", 0.006492, 14
100, "Parallel (15)", 0.005402, 15
100, "Parallel (16)", 0.005219, 16
100, "Built-in", 0.000019, 1
100, "Sequential", 0.000015, 1
100, "Parallel (2)", 0.001403, 2
100, "Parallel (3)", 0.000344, 3
100, "Parallel (4)", 0.000724, 4
100, "Parallel (5)", 0.001176, 5
100, "Parallel (6)", 0.002573, 6
100, "Parallel (7)", 0.003853, 7
100, "Parallel (8)", 0.004305, 8
100, "Parallel (9)", 0.008005, 9
100, "Parallel (10)", 0.006034, 10
100, "Parallel (11)", 0.005610, 11
100, "Parallel (12)", 0.004914, 12
100, "Parallel (13)", 0.005194, 13
100, "Parallel (14)", 0.005301, 14
100, "Parallel (15)", 0.005017, 15
100, "Parallel (16)", 0.005270, 16
100, "Built-in", 0.000020, 1
100, "Sequential", 0.000015, 1
100, "Parallel (2)", 0.000408, 2
100, "Parallel (3)", 0.000485, 3
100, "Parallel (4)", 0.001127, 4
100, "Parallel (5)", 0.001193, 5
100, "Parallel (6)", 0.002601, 6
100, "Parallel (7)", 0.003134, 7
100, "Parallel (8)", 0.003861, 8
100, "Parallel (9)", 0.008329, 9
100, "Parallel (10)", 0.004281, 10
100, "Parallel (11)", 0.004834, 11
100, "Parallel (12)", 0.004719, 12
100, "Parallel (13)", 0.008108, 13
100, "Parallel (14)", 0.006701, 14
100, "Parallel (15)", 0.016346, 15
100, "Parallel (16)", 0.006791, 16
100, "Built-in", 0.000019, 1
100, "Sequential", 0.000014, 1
100, "Parallel (2)", 0.000350, 2
100, "Parallel (3)", 0.000440, 3
100, "Parallel (4)", 0.000707, 4
100, "Parallel (5)", 0.001174, 5
100, "Parallel (6)", 0.003702, 6
100, "Parallel (7)", 0.002044, 7
100, "Parallel (8)", 0.004557, 8
100, "Parallel (9)", 0.003306, 9
100, "Parallel (10)", 0.005622, 10
100, "Parallel (11)", 0.005749, 11
100, "Parallel (12)", 0.004759, 12
100, "Parallel (13)", 0.005759, 13
100, "Parallel (14)", 0.004752, 14
100, "Parallel (15)", 0.005289, 15
100, "Parallel (16)", 0.005173, 16
100, "Built-in", 0.000019, 1
100, "Sequential", 0.000015, 1
100, "Parallel (2)", 0.000370, 2
100, "Parallel (3)", 0.000441, 3
100, "Parallel (4)", 0.000899, 4
100, "Parallel (5)", 0.001425, 5
100, "Parallel (6)", 0.001362, 6
100, "Parallel (7)", 0.002606, 7
100, "Parallel (8)", 0.004441, 8
100, "Parallel (9)", 0.007114, 9
100, "Parallel (10)", 0.004247, 10
100, "Parallel (11)", 0.004416, 11
100, "Parallel (12)", 0.004500, 12
100, "Parallel (13)", 0.007380, 13
100, "Parallel (14)", 0.006496, 14
100, "Parallel (15)", 0.007604, 15
100, "Parallel (16)", 0.005382, 16
100, "Built-in", 0.000019, 1
1000, "Sequential", 0.000201, 1
1000, "Parallel (2)", 0.000536, 2
1000, "Parallel (3)", 0.000546, 3
1000, "Parallel (4)", 0.001332, 4
1000, "Parallel (5)", 0.001687, 5
1000, "Parallel (6)", 0.004655, 6
1000, "Parallel (7)", 0.005330, 7
1000, "Parallel (8)", 0.009761, 8
1000, "Parallel (9)", 0.021417, 9
1000, "Parallel (10)", 0.022465, 10
1000, "Parallel (11)", 0.045081, 11
1000, "Parallel (12)", 0.065013, 12
1000, "Parallel (13)", 0.070101, 13
1000, "Parallel (14)", 0.080012, 14
1000, "Parallel (15)", 0.089530, 15
1000, "Parallel (16)", 0.083391, 16
1000, "Built-in", 0.000276, 1
1000, "Sequential", 0.000200, 1
1000, "Parallel (2)", 0.000543, 2
1000, "Parallel (3)", 0.000518, 3
1000, "Parallel (4)", 0.000927, 4
1000, "Parallel (5)", 0.002280, 5
1000, "Parallel (6)", 0.004630, 6
1000, "Parallel (7)", 0.018873, 7
1000, "Parallel (8)", 0.010915, 8
1000, "Parallel (9)", 0.014800, 9
1000, "Parallel (10)", 0.023303, 10
1000, "Parallel (11)", 0.032527, 11
1000, "Parallel (12)", 0.038281, 12
1000, "Parallel (13)", 0.058140, 13
1000, "Parallel (14)", 0.068043, 14
1000, "Parallel (15)", 0.075310, 15
1000, "Parallel (16)", 0.063751, 16
1000, "Built-in", 0.000273, 1
1000, "Sequential", 0.000187, 1
1000, "Parallel (2)", 0.000422, 2
1000, "Parallel (3)", 0.000627, 3
1000, "Parallel (4)", 0.001146, 4
1000, "Parallel (5)", 0.001716, 5
1000, "Parallel (6)", 0.004006, 6
1000, "Parallel (7)", 0.010725, 7
1000, "Parallel (8)", 0.013312, 8
1000, "Parallel (9)", 0.012671, 9
1000, "Parallel (10)", 0.019610, 10
1000, "Parallel (11)", 0.034033, 11
1000, "Parallel (12)", 0.078779, 12
1000, "Parallel (13)", 0.035769, 13
1000, "Parallel (14)", 0.061501, 14
1000, "Parallel (15)", 0.078816, 15
1000, "Parallel (16)", 0.060674, 16
1000, "Built-in", 0.000272, 1
1000, "Sequential", 0.000188, 1
1000, "Parallel (2)", 0.000422, 2
1000, "Parallel (3)", 0.000460, 3
1000, "Parallel (4)", 0.001188, 4
1000, "Parallel (5)", 0.001709, 5
1000, "Parallel (6)", 0.004058, 6
1000, "Parallel (7)", 0.006664, 7
1000, "Parallel (8)", 0.012666, 8
1000, "Parallel (9)", 0.011787, 9
1000, "Parallel (10)", 0.035478, 10
1000, "Parallel (11)", 0.035182, 11
1000, "Parallel (12)", 0.045034, 12
1000, "Parallel (13)", 0.055103, 13
1000, "Parallel (14)", 0.072326, 14
1000, "Parallel (15)", 0.064540, 15
1000, "Parallel (16)", 0.083718, 16
1000, "Built-in", 0.000272, 1
1000, "Sequential", 0.000195, 1
1000, "Parallel (2)", 0.000440, 2
1000, "Parallel (3)", 0.000542, 3
1000, "Parallel (4)", 0.001243, 4
1000, "Parallel (5)", 0.001824, 5
1000, "Parallel (6)", 0.002672, 6
1000, "Parallel (7)", 0.007436, 7
1000, "Parallel (8)", 0.016518, 8
1000, "Parallel (9)", 0.015106, 9
1000, "Parallel (10)", 0.010602, 10
1000, "Parallel (11)", 0.037789, 11
1000, "Parallel (12)", 0.050030, 12
1000, "Parallel (13)", 0.035824, 13
1000, "Parallel (14)", 0.040697, 14
1000, "Parallel (15)", 0.071449, 15
1000, "Parallel (16)", 0.061647, 16
1000, "Built-in", 0.000274, 1
10000, "Sequential", 0.002511, 1
10000, "Parallel (2)", 0.002233, 2
10000, "Parallel (3)", 0.002388, 3
10000, "Parallel (4)", 0.002619, 4
10000, "Parallel (5)", 0.003212, 5
10000, "Parallel (6)", 0.004831, 6
10000, "Parallel (7)", 0.014814, 7
10000, "Parallel (8)", 0.015314, 8
10000, "Parallel (9)", 0.037555, 9
