Size, Type, Time
100, "Sequential", 0.000051
100, "Parallel 2", 0.002087
100, "Parallel 4", 0.012502
100, "Parallel 6", 0.025507
100, "Parallel 8", 0.032934
100, "Parallel 10", 0.037732
100, "Built-in", 0.000028
100, "Sequential", 0.000019
100, "Parallel 2", 0.001148
100, "Parallel 4", 0.004973
100, "Parallel 6", 0.013342
100, "Parallel 8", 0.034854
100, "Parallel 10", 0.042492
100, "Built-in", 0.000022
100, "Sequential", 0.000019
100, "Parallel 2", 0.001200
100, "Parallel 4", 0.006130
100, "Parallel 6", 0.013196
100, "Parallel 8", 0.031545
100, "Parallel 10", 0.034188
100, "Built-in", 0.000021
100, "Sequential", 0.000018
100, "Parallel 2", 0.001068
100, "Parallel 4", 0.004003
100, "Parallel 6", 0.018875
100, "Parallel 8", 0.034567
100, "Parallel 10", 0.035822
100, "Built-in", 0.000021
100, "Sequential", 0.000018
100, "Parallel 2", 0.000359
100, "Parallel 4", 0.005401
100, "Parallel 6", 0.015164
100, "Parallel 8", 0.030914
100, "Parallel 10", 0.030723
100, "Built-in", 0.000021
1000, "Sequential", 0.000252
1000, "Parallel 2", 0.000829
1000, "Parallel 4", 0.006848
1000, "Parallel 6", 0.035421
1000, "Parallel 8", 0.064230
1000, "Parallel 10", 0.186865
1000, "Built-in", 0.000233
1000, "Sequential", 0.000237
1000, "Parallel 2", 0.000821
1000, "Parallel 4", 0.007074
1000, "Parallel 6", 0.032057
1000, "Parallel 8", 0.070591
1000, "Parallel 10", 0.147980
1000, "Built-in", 0.000233
1000, "Sequential", 0.000238
1000, "Parallel 2", 0.001170
1000, "Parallel 4", 0.006158
1000, "Parallel 6", 0.036379
1000, "Parallel 8", 0.054789
1000, "Parallel 10", 0.159381
1000, "Built-in", 0.000234
1000, "Sequential", 0.000242
1000, "Parallel 2", 0.000840
1000, "Parallel 4", 0.006868
1000, "Parallel 6", 0.035091
1000, "Parallel 8", 0.080780
1000, "Parallel 10", 0.167784
1000, "Built-in", 0.000238
1000, "Sequential", 0.000236
1000, "Parallel 2", 0.000828
1000, "Parallel 4", 0.007169
1000, "Parallel 6", 0.024364
1000, "Parallel 8", 0.071828
1000, "Parallel 10", 0.170177
1000, "Built-in", 0.000232
10000, "Sequential", 0.002998
10000, "Parallel 2", 0.002577
10000, "Parallel 4", 0.007150
10000, "Parallel 6", 0.026124
10000, "Parallel 8", 0.108988
10000, "Parallel 10", 0.236837
10000, "Built-in", 0.002795
10000, "Sequential", 0.002911
10000, "Parallel 2", 0.003182
10000, "Parallel 4", 0.007354
10000, "Parallel 6", 0.028357
10000, "Parallel 8", 0.134506
10000, "Parallel 10", 0.256009
10000, "Built-in", 0.002801
10000, "Sequential", 0.003011
10000, "Parallel 2", 0.002899
10000, "Parallel 4", 0.006302
10000, "Parallel 6", 0.033879
10000, "Parallel 8", 0.121695
10000, "Parallel 10", 0.239244
10000, "Built-in", 0.002805
10000, "Sequential", 0.002965
10000, "Parallel 2", 0.003147
