Size, Type, Time
100, "Sequential", 0.000015
100, "Parallel", 0.004696
100, "Built-in", 0.000018
100, "Sequential", 0.000015
100, "Parallel", 0.006511
100, "Built-in", 0.000019
100, "Sequential", 0.000015
100, "Parallel", 0.012166
100, "Built-in", 0.000016
100, "Sequential", 0.000016
100, "Parallel", 0.007355
100, "Built-in", 0.000018
100, "Sequential", 0.000016
100, "Parallel", 0.004748
100, "Built-in", 0.000016
1000, "Sequential", 0.000186
1000, "Parallel", 0.032029
1000, "Built-in", 0.000263
1000, "Sequential", 0.000205
1000, "Parallel", 0.033076
1000, "Built-in", 0.000268
1000, "Sequential", 0.000188
1000, "Parallel", 0.023692
1000, "Built-in", 0.000264
1000, "Sequential", 0.000183
1000, "Parallel", 0.022463
1000, "Built-in", 0.000271
1000, "Sequential", 0.000181
1000, "Parallel", 0.021113
1000, "Built-in", 0.000271
10000, "Sequential", 0.002629
10000, "Parallel", 0.061604
10000, "Built-in", 0.002293
10000, "Sequential", 0.002502
10000, "Parallel", 0.053816
10000, "Built-in", 0.002311
10000, "Sequential", 0.002764
10000, "Parallel", 0.066572
10000, "Built-in", 0.002292
10000, "Sequential", 0.002338
10000, "Parallel", 0.066798
10000, "Built-in", 0.002413
10000, "Sequential", 0.002334
10000, "Parallel", 0.080959
10000, "Built-in", 0.002266
100000, "Sequential", 0.028499
100000, "Parallel", 0.076117
100000, "Built-in", 0.027175
100000, "Sequential", 0.028003
100000, "Parallel", 0.081652
100000, "Built-in", 0.027061
100000, "Sequential", 0.028103
100000, "Parallel", 0.092411
100000, "Built-in", 0.027125
100000, "Sequential", 0.027879
100000, "Parallel", 0.087803
100000, "Built-in", 0.027588
100000, "Sequential", 0.027526
100000, "Parallel", 0.070649
100000, "Built-in", 0.027033
1000000, "Sequential", 0.334582
1000000, "Parallel", 0.295421
1000000, "Built-in", 0.322643
1000000, "Sequential", 0.331316
1000000, "Parallel", 0.289087
1000000, "Built-in", 0.320902
1000000, "Sequential", 0.322294
1000000, "Parallel", 0.278916
1000000, "Built-in", 0.321468
1000000, "Sequential", 0.324576
1000000, "Parallel", 0.297770
1000000, "Built-in", 0.318557
1000000, "Sequential", 0.324292
1000000, "Parallel", 0.281958
1000000, "Built-in", 0.327822
