Size, Type, Time, Cores
100, "Sequential", 0.000016, 1
100, "Parallel (2)", 0.000668, 2
100, "Parallel (4)", 0.000725, 4
100, "Parallel (6)", 0.002408, 6
100, "Parallel (8)", 0.009017, 8
100, "Built-in", 0.000026, 1
100, "Sequential", 0.000023, 1
100, "Parallel (2)", 0.000488, 2
100, "Parallel (4)", 0.001177, 4
100, "Parallel (6)", 0.002475, 6
100, "Parallel (8)", 0.003332, 8
100, "Built-in", 0.000019, 1
100, "Sequential", 0.000015, 1
100, "Parallel (2)", 0.000324, 2
100, "Parallel (4)", 0.000696, 4
100, "Parallel (6)", 0.001857, 6
100, "Parallel (8)", 0.002938, 8
100, "Built-in", 0.000017, 1
100, "Sequential", 0.000016, 1
100, "Parallel (2)", 0.000349, 2
100, "Parallel (4)", 0.000639, 4
100, "Parallel (6)", 0.005241, 6
100, "Parallel (8)", 0.003164, 8
100, "Built-in", 0.000030, 1
100, "Sequential", 0.000015, 1
100, "Parallel (2)", 0.000373, 2
100, "Parallel (4)", 0.000857, 4
100, "Parallel (6)", 0.002997, 6
100, "Parallel (8)", 0.002054, 8
100, "Built-in", 0.000017, 1
1000, "Sequential", 0.000286, 1
1000, "Parallel (2)", 0.000558, 2
1000, "Parallel (4)", 0.001228, 4
1000, "Parallel (6)", 0.004186, 6
1000, "Parallel (8)", 0.014888, 8
1000, "Built-in", 0.000270, 1
1000, "Sequential", 0.000185, 1
1000, "Parallel (2)", 0.000545, 2
1000, "Parallel (4)", 0.001228, 4
1000, "Parallel (6)", 0.006255, 6
1000, "Parallel (8)", 0.016143, 8
1000, "Built-in", 0.000265, 1
1000, "Sequential", 0.000212, 1
1000, "Parallel (2)", 0.000609, 2
1000, "Parallel (4)", 0.001080, 4
1000, "Parallel (6)", 0.003213, 6
1000, "Parallel (8)", 0.014067, 8
1000, "Built-in", 0.000269, 1
1000, "Sequential", 0.000184, 1
1000, "Parallel (2)", 0.000572, 2
1000, "Parallel (4)", 0.000981, 4
1000, "Parallel (6)", 0.004425, 6
1000, "Parallel (8)", 0.009931, 8
1000, "Built-in", 0.000275, 1
1000, "Sequential", 0.000185, 1
1000, "Parallel (2)", 0.000516, 2
1000, "Parallel (4)", 0.000952, 4
1000, "Parallel (6)", 0.004493, 6
1000, "Parallel (8)", 0.010047, 8
1000, "Built-in", 0.000263, 1
10000, "Sequential", 0.002602, 1
10000, "Parallel (2)", 0.002705, 2
