Size, Type, Time
100, "Sequential", 0.000015
100, "Parallel (2)", 0.000405
100, "Parallel (4)", 0.000836
100, "Built-in", 0.000015
100, "Sequential", 0.000015
100, "Parallel (2)", 0.000307
100, "Parallel (4)", 0.003028
100, "Built-in", 0.000015
100, "Sequential", 0.000016
100, "Parallel (2)", 0.000305
100, "Parallel (4)", 0.001068
100, "Built-in", 0.000014
100, "Sequential", 0.000015
100, "Parallel (2)", 0.003004
100, "Parallel (4)", 0.001090
100, "Built-in", 0.000016
100, "Sequential", 0.000016
100, "Parallel (2)", 0.000319
100, "Parallel (4)", 0.001135
100, "Built-in", 0.000015
1000, "Sequential", 0.000193
1000, "Parallel (2)", 0.000479
1000, "Parallel (4)", 0.001485
1000, "Built-in", 0.000252
1000, "Sequential", 0.000192
1000, "Parallel (2)", 0.000553
1000, "Parallel (4)", 0.001163
1000, "Built-in", 0.000230
1000, "Sequential", 0.000192
1000, "Parallel (2)", 0.000464
1000, "Parallel (4)", 0.000959
1000, "Built-in", 0.000225
1000, "Sequential", 0.000191
1000, "Parallel (2)", 0.000464
1000, "Parallel (4)", 0.001192
1000, "Built-in", 0.000220
1000, "Sequential", 0.000189
1000, "Parallel (2)", 0.000461
1000, "Parallel (4)", 0.008122
1000, "Built-in", 0.000229
10000, "Sequential", 0.002823
10000, "Parallel (2)", 0.005019
10000, "Parallel (4)", 0.003865
10000, "Built-in", 0.003578
10000, "Sequential", 0.002358
10000, "Parallel (2)", 0.001918
10000, "Parallel (4)", 0.007699
10000, "Built-in", 0.002302
10000, "Sequential", 0.002349
10000, "Parallel (2)", 0.002040
10000, "Parallel (4)", 0.002645
10000, "Built-in", 0.002255
10000, "Sequential", 0.002339
10000, "Parallel (2)", 0.001998
10000, "Parallel (4)", 0.002349
10000, "Built-in", 0.002251
10000, "Sequential", 0.002349
10000, "Parallel (2)", 0.002176
10000, "Parallel (4)", 0.002384
10000, "Built-in", 0.002258
100000, "Sequential", 0.028204
100000, "Parallel (2)", 0.023502
100000, "Parallel (4)", 0.020635
100000, "Built-in", 0.026707
100000, "Sequential", 0.030730
100000, "Parallel (2)", 0.022906
100000, "Parallel (4)", 0.021938
100000, "Built-in", 0.031028
100000, "Sequential", 0.028398
100000, "Parallel (2)", 0.018449
100000, "Parallel (4)", 0.020191
100000, "Built-in", 0.027676
100000, "Sequential", 0.029446
100000, "Parallel (2)", 0.026723
100000, "Parallel (4)", 0.029657
100000, "Built-in", 0.026970
100000, "Sequential", 0.030456
100000, "Parallel (2)", 0.022610
100000, "Parallel (4)", 0.023614
100000, "Built-in", 0.026506
1000000, "Sequential", 0.336576
1000000, "Parallel (2)", 0.324662
1000000, "Parallel (4)", 0.236159
1000000, "Built-in", 0.322890
1000000, "Sequential", 0.328535
1000000, "Parallel (2)", 0.245396
1000000, "Parallel (4)", 0.277733
1000000, "Built-in", 0.326913
1000000, "Sequential", 0.326509
1000000, "Parallel (2)", 0.250001
1000000, "Parallel (4)", 0.236106
1000000, "Built-in", 0.327852
1000000, "Sequential", 0.337282
1000000, "Parallel (2)", 0.225791
1000000, "Parallel (4)", 0.225848
1000000, "Built-in", 0.324834
1000000, "Sequential", 0.332698
1000000, "Parallel (2)", 0.348651
1000000, "Parallel (4)", 0.224644
1000000, "Built-in", 0.345636
