Size, Type, Time
100, "Sequential", 0.000016
100, "Parallel (2)", 0.000403
100, "Parallel (4)", 0.000444
100, "Built-in", 0.000015
100, "Sequential", 0.000016
100, "Parallel (2)", 0.000329
100, "Parallel (4)", 0.000947
100, "Built-in", 0.000015
100, "Sequential", 0.000017
100, "Parallel (2)", 0.000272
100, "Parallel (4)", 0.000779
100, "Built-in", 0.000015
100, "Sequential", 0.000016
100, "Parallel (2)", 0.000291
100, "Parallel (4)", 0.000656
100, "Built-in", 0.000015
100, "Sequential", 0.000016
100, "Parallel (2)", 0.000300
100, "Parallel (4)", 0.005257
100, "Built-in", 0.000019
1000, "Sequential", 0.000182
1000, "Parallel (2)", 0.000443
1000, "Parallel (4)", 0.001224
1000, "Built-in", 0.000236
1000, "Sequential", 0.000183
1000, "Parallel (2)", 0.000402
1000, "Parallel (4)", 0.000900
1000, "Built-in", 0.000227
1000, "Sequential", 0.000183
1000, "Parallel (2)", 0.000453
1000, "Parallel (4)", 0.001041
1000, "Built-in", 0.000237
1000, "Sequential", 0.000182
1000, "Parallel (2)", 0.000410
1000, "Parallel (4)", 0.001122
1000, "Built-in", 0.000224
1000, "Sequential", 0.000182
1000, "Parallel (2)", 0.000386
1000, "Parallel (4)", 0.006551
1000, "Built-in", 0.000235
10000, "Sequential", 0.002439
10000, "Parallel (2)", 0.002148
10000, "Parallel (4)", 0.002520
10000, "Built-in", 0.002266
10000, "Sequential", 0.002434
10000, "Parallel (2)", 0.002226
10000, "Parallel (4)", 0.002909
10000, "Built-in", 0.002231
10000, "Sequential", 0.002415
10000, "Parallel (2)", 0.002219
10000, "Parallel (4)", 0.002473
10000, "Built-in", 0.002255
10000, "Sequential", 0.002472
10000, "Parallel (2)", 0.002084
10000, "Parallel (4)", 0.002390
10000, "Built-in", 0.002308
10000, "Sequential", 0.002426
10000, "Parallel (2)", 0.002734
10000, "Parallel (4)", 0.002265
10000, "Built-in", 0.002234
100000, "Sequential", 0.027962
100000, "Parallel (2)", 0.029191
100000, "Parallel (4)", 0.018548
100000, "Built-in", 0.026595
100000, "Sequential", 0.033955
100000, "Parallel (2)", 0.030576
100000, "Parallel (4)", 0.026690
100000, "Built-in", 0.031211
100000, "Sequential", 0.027496
100000, "Parallel (2)", 0.029159
100000, "Parallel (4)", 0.021164
100000, "Built-in", 0.026800
100000, "Sequential", 0.027971
100000, "Parallel (2)", 0.029293
100000, "Parallel (4)", 0.030268
100000, "Built-in", 0.027240
100000, "Sequential", 0.029099
100000, "Parallel (2)", 0.028504
100000, "Parallel (4)", 0.026162
100000, "Built-in", 0.027030
1000000, "Sequential", 0.333887
1000000, "Parallel (2)", 0.264884
1000000, "Parallel (4)", 0.225472
1000000, "Built-in", 0.333423
1000000, "Sequential", 0.328149
1000000, "Parallel (2)", 0.261878
1000000, "Parallel (4)", 0.227656
1000000, "Built-in", 0.321468
1000000, "Sequential", 0.342868
1000000, "Parallel (2)", 0.222026
1000000, "Parallel (4)", 0.226942
1000000, "Built-in", 0.319513
1000000, "Sequential", 0.334805
1000000, "Parallel (2)", 0.277634
1000000, "Parallel (4)", 0.242897
1000000, "Built-in", 0.324900
1000000, "Sequential", 0.329724
1000000, "Parallel (2)", 0.283062
1000000, "Parallel (4)", 0.247899
1000000, "Built-in", 0.323317
10000000, "Sequential", 3.870795
10000000, "Parallel (2)", 3.154961
10000000, "Parallel (4)", 3.291101
10000000, "Built-in", 3.796500
10000000, "Sequential", 3.876186
10000000, "Parallel (2)", 2.577528
10000000, "Parallel (4)", 3.012204
10000000, "Built-in", 3.819610
10000000, "Sequential", 3.933476
10000000, "Parallel (2)", 3.676476
10000000, "Parallel (4)", 2.887415
10000000, "Built-in", 3.953319
10000000, "Sequential", 3.952344
10000000, "Parallel (2)", 3.166684
10000000, "Parallel (4)", 3.175281
10000000, "Built-in", 3.938771
10000000, "Sequential", 3.904765
10000000, "Parallel (2)", 2.930054
10000000, "Parallel (4)", 3.273642
10000000, "Built-in", 3.899192
