Size, Type, Time, Cores
100, "Sequential", 0.000038, 1
100, "Parallel (2)", 0.001366, 2
100, "Parallel (3)", 0.006501, 3
100, "Parallel (4)", 0.004475, 4
100, "Parallel (5)", 0.006890, 5
100, "Parallel (6)", 0.024174, 6
100, "Parallel (7)", 0.025673, 7
100, "Parallel (8)", 0.054370, 8
100, "Parallel (9)", 0.047957, 9
100, "Parallel (10)", 0.030640, 10
100, "Parallel (11)", 0.026326, 11
100, "Parallel (12)", 0.031805, 12
100, "Parallel (13)", 0.029905, 13
100, "Parallel (14)", 0.026165, 14
100, "Parallel (15)", 0.025017, 15
100, "Parallel (16)", 0.034498, 16
100, "Built-in", 0.000015, 1
100, "Sequential", 0.000010, 1
100, "Parallel (2)", 0.000936, 2
100, "Parallel (3)", 0.001208, 3
100, "Parallel (4)", 0.005276, 4
100, "Parallel (5)", 0.008584, 5
100, "Parallel (6)", 0.013926, 6
100, "Parallel (7)", 0.018622, 7
100, "Parallel (8)", 0.024529, 8
100, "Parallel (9)", 0.029800, 9
100, "Parallel (10)", 0.023724, 10
100, "Parallel (11)", 0.025919, 11
100, "Parallel (12)", 0.030125, 12
100, "Parallel (13)", 0.032558, 13
100, "Parallel (14)", 0.026778, 14
100, "Parallel (15)", 0.024878, 15
100, "Parallel (16)", 0.027647, 16
100, "Built-in", 0.000015, 1
100, "Sequential", 0.000010, 1
100, "Parallel (2)", 0.000859, 2
100, "Parallel (3)", 0.000980, 3
100, "Parallel (4)", 0.003502, 4
100, "Parallel (5)", 0.006741, 5
100, "Parallel (6)", 0.020639, 6
100, "Parallel (7)", 0.027927, 7
100, "Parallel (8)", 0.026057, 8
100, "Parallel (9)", 0.025481, 9
100, "Parallel (10)", 0.029588, 10
100, "Parallel (11)", 0.035864, 11
100, "Parallel (12)", 0.035770, 12
100, "Parallel (13)", 0.027899, 13
100, "Parallel (14)", 0.025515, 14
100, "Parallel (15)", 0.030814, 15
100, "Parallel (16)", 0.023903, 16
100, "Built-in", 0.000015, 1
100, "Sequential", 0.000011, 1
100, "Parallel (2)", 0.000608, 2
100, "Parallel (3)", 0.001894, 3
100, "Parallel (4)", 0.004196, 4
100, "Parallel (5)", 0.006537, 5
100, "Parallel (6)", 0.011533, 6
100, "Parallel (7)", 0.011931, 7
100, "Parallel (8)", 0.019760, 8
100, "Parallel (9)", 0.033231, 9
100, "Parallel (10)", 0.025357, 10
100, "Parallel (11)", 0.029656, 11
100, "Parallel (12)", 0.025927, 12
100, "Parallel (13)", 0.025600, 13
100, "Parallel (14)", 0.035160, 14
100, "Parallel (15)", 0.034150, 15
100, "Parallel (16)", 0.027531, 16
100, "Built-in", 0.000016, 1
100, "Sequential", 0.000011, 1
100, "Parallel (2)", 0.000597, 2
100, "Parallel (3)", 0.001133, 3
100, "Parallel (4)", 0.002925, 4
100, "Parallel (5)", 0.008832, 5
100, "Parallel (6)", 0.016430, 6
100, "Parallel (7)", 0.021430, 7
100, "Parallel (8)", 0.018013, 8
100, "Parallel (9)", 0.027449, 9
100, "Parallel (10)", 0.026952, 10
100, "Parallel (11)", 0.044050, 11
100, "Parallel (12)", 0.034108, 12
100, "Parallel (13)", 0.031924, 13
100, "Parallel (14)", 0.028361, 14
100, "Parallel (15)", 0.033580, 15
100, "Parallel (16)", 0.025932, 16
100, "Built-in", 0.000015, 1
1000, "Sequential", 0.000145, 1
1000, "Parallel (2)", 0.000915, 2
1000, "Parallel (3)", 0.001818, 3
1000, "Parallel (4)", 0.006281, 4
1000, "Parallel (5)", 0.010553, 5
1000, "Parallel (6)", 0.025998, 6
1000, "Parallel (7)", 0.034970, 7
1000, "Parallel (8)", 0.075635, 8
1000, "Parallel (9)", 0.053413, 9
1000, "Parallel (10)", 0.141778, 10
1000, "Parallel (11)", 0.095633, 11
1000, "Parallel (12)", 0.219830, 12
1000, "Parallel (13)", 0.169570, 13
1000, "Parallel (14)", 0.251208, 14
1000, "Parallel (15)", 0.334860, 15
1000, "Parallel (16)", 0.340603, 16
1000, "Built-in", 0.000241, 1
1000, "Sequential", 0.000143, 1
1000, "Parallel (2)", 0.001694, 2
1000, "Parallel (3)", 0.002589, 3
1000, "Parallel (4)", 0.006665, 4
1000, "Parallel (5)", 0.016606, 5
1000, "Parallel (6)", 0.024371, 6
1000, "Parallel (7)", 0.032671, 7
1000, "Parallel (8)", 0.093427, 8
1000, "Parallel (9)", 0.132926, 9
1000, "Parallel (10)", 0.130460, 10
1000, "Parallel (11)", 0.170737, 11
1000, "Parallel (12)", 0.266756, 12
1000, "Parallel (13)", 0.213884, 13
1000, "Parallel (14)", 0.263503, 14
1000, "Parallel (15)", 0.334410, 15
1000, "Parallel (16)", 0.292276, 16
1000, "Built-in", 0.000239, 1
1000, "Sequential", 0.000148, 1
1000, "Parallel (2)", 0.000665, 2
1000, "Parallel (3)", 0.001312, 3
1000, "Parallel (4)", 0.003477, 4
1000, "Parallel (5)", 0.018760, 5
1000, "Parallel (6)", 0.039667, 6
