Size, Type, Time, Cores
100, "Sequential", 0.000014, 1
100, "Parallel (2)", 0.000424, 2
100, "Parallel (3)", 0.000446, 3
100, "Parallel (4)", 0.000883, 4
100, "Parallel (5)", 0.001212, 5
100, "Parallel (6)", 0.002115, 6
100, "Parallel (7)", 0.003667, 7
100, "Parallel (8)", 0.003336, 8
100, "Parallel (9)", 0.003278, 9
100, "Parallel (10)", 0.007878, 10
100, "Parallel (11)", 0.004790, 11
100, "Parallel (12)", 0.005102, 12
100, "Parallel (13)", 0.006758, 13
100, "Parallel (14)", 0.005393, 14
100, "Parallel (15)", 0.004578, 15
100, "Parallel (16)", 0.005302, 16
100, "Built-in", 0.000018, 1
100, "Sequential", 0.000015, 1
100, "Parallel (2)", 0.000369, 2
100, "Parallel (3)", 0.000438, 3
100, "Parallel (4)", 0.001923, 4
100, "Parallel (5)", 0.001250, 5
100, "Parallel (6)", 0.002778, 6
100, "Parallel (7)", 0.001959, 7
100, "Parallel (8)", 0.003947, 8
100, "Parallel (9)", 0.007006, 9
100, "Parallel (10)", 0.004846, 10
100, "Parallel (11)", 0.005199, 11
100, "Parallel (12)", 0.005225, 12
100, "Parallel (13)", 0.009257, 13
100, "Parallel (14)", 0.005588, 14
100, "Parallel (15)", 0.009282, 15
100, "Parallel (16)", 0.004550, 16
100, "Built-in", 0.000019, 1
100, "Sequential", 0.000016, 1
100, "Parallel (2)", 0.000325, 2
100, "Parallel (3)", 0.000323, 3
100, "Parallel (4)", 0.000601, 4
100, "Parallel (5)", 0.005154, 5
100, "Parallel (6)", 0.002332, 6
100, "Parallel (7)", 0.002871, 7
100, "Parallel (8)", 0.003725, 8
100, "Parallel (9)", 0.004125, 9
100, "Parallel (10)", 0.005006, 10
100, "Parallel (11)", 0.004802, 11
100, "Parallel (12)", 0.012895, 12
100, "Parallel (13)", 0.004962, 13
100, "Parallel (14)", 0.004984, 14
100, "Parallel (15)", 0.007944, 15
100, "Parallel (16)", 0.005131, 16
100, "Built-in", 0.000019, 1
100, "Sequential", 0.000016, 1
100, "Parallel (2)", 0.000317, 2
100, "Parallel (3)", 0.000320, 3
100, "Parallel (4)", 0.000888, 4
100, "Parallel (5)", 0.001800, 5
100, "Parallel (6)", 0.001325, 6
100, "Parallel (7)", 0.006261, 7
100, "Parallel (8)", 0.003661, 8
100, "Parallel (9)", 0.006319, 9
100, "Parallel (10)", 0.007594, 10
100, "Parallel (11)", 0.005019, 11
100, "Parallel (12)", 0.004441, 12
100, "Parallel (13)", 0.005009, 13
